Source,Target,Type,Weight,Category
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,d6229c5b-498e-4935-9229-52e77f9027f3,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,6f1f981b-ca3c-4fe1-8f08-82aa28ab52e4,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,06dc2e59-828c-4c2f-bd76-23bf57d2ec38,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,4f5e6fdc-5c5a-4291-8fe0-bc56d52bc5c0,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,bb772acd-2f62-44ff-a813-62a365091549,relationship,8,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,5031e76a-4ebc-4674-9285-1f18000c50b6,relationship,7,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,464ff4c5-077d-469e-b264-f5d2c3cd48f6,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,f6cb50df-1dde-43e0-96a1-bc9882562476,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,3f343401-488b-4cf5-91ee-bbc56be1ecac,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,c3a53fb7-b235-4cde-b332-8306803646de,relationship,7,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,3adc6b12-f384-4018-8333-9d20890961a6,relationship,7,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,657d89bf-7dd7-4227-9761-c520076c13a1,relationship,1,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,63bfe180-dd05-4f2b-bc67-25d16f1dd47b,relationship,1,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,b745cafe-a2da-4436-9fd2-6b25a879667d,relationship,7,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,8,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,ee0d3bd3-34da-444c-9978-1f1421c1e08e,relationship,9,relationship
283e6f7f-fe7d-4d69-80b6-a2acd982e29f,6b8ffa45-3d92-484d-bf2a-3f904f29eafe,relationship,8,relationship
19ad4169-fc89-4798-81fc-beee10136904,cf6a3487-18ae-4fe2-94d8-0eb4e2cce3c4,relationship,8,relationship
19ad4169-fc89-4798-81fc-beee10136904,2214aa77-024c-41f9-aed8-87147a775408,relationship,8,relationship
19ad4169-fc89-4798-81fc-beee10136904,33694225-dbe4-452e-8949-c37a82166cdc,relationship,8,relationship
511ad143-8f20-4fc3-bc06-8bdb8c9c806a,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,7,relationship
a80f259e-6701-4032-a883-57bf22b8b3bc,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,6,relationship
b745cafe-a2da-4436-9fd2-6b25a879667d,760569ca-5d51-40c6-b26e-daeceeb64314,relationship,6,relationship
b745cafe-a2da-4436-9fd2-6b25a879667d,447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,relationship,6,relationship
eae4e8ca-7ccb-4397-8033-ebe6f23e19f1,447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,relationship,1,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,758334b1-d9dc-4bd9-a4a3-30ce20f6984d,relationship,8,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,a5af03d8-0926-486a-a595-f673c70d86c8,relationship,8,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,57acd984-5570-4663-8695-535c483db90c,relationship,8,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,2a93bbca-05da-4d71-9e54-7595032cf837,relationship,8,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,835a04d4-c4e8-4a12-883f-c17d940d21d5,relationship,8,relationship
447f4ca7-4cb1-47db-b7ac-1830a9ba2d53,970a30b4-1d9b-46d7-87e4-f0735eff662e,relationship,8,relationship
a11f4757-8df6-4837-a222-a390f456eec3,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,8,relationship
ea744e64-ee81-41ac-9637-c404a17e8c44,53e989ec-8a65-4a60-89c6-2e9590786eb5,relationship,8,relationship
53e989ec-8a65-4a60-89c6-2e9590786eb5,a7be0992-9032-4231-8827-1b0736b777a4,relationship,1,relationship
1f0899d4-e3bc-44ed-a467-06099e0be0eb,9faa351b-febb-4b75-b2f7-36dbb1155860,relationship,7,relationship
9faa351b-febb-4b75-b2f7-36dbb1155860,783a6cfa-aa13-4b9e-887e-e2be32609196,relationship,6,relationship
859a658f-bab2-47ea-a9ad-6f0187e9cc90,783a6cfa-aa13-4b9e-887e-e2be32609196,relationship,5,relationship
783a6cfa-aa13-4b9e-887e-e2be32609196,22b5221b-5849-4573-bbff-5f76bca6e0f1,relationship,5,relationship
9e705c1b-1dc9-4cc7-808e-5dec5bbb5d12,319e9627-a8ef-495a-8c52-d4416019b3cf,relationship,6,relationship
19a8410a-146a-47b4-8330-291f941cc35c,c6710f64-7661-48f7-bb03-ed06e2d48330,relationship,7,relationship
c6710f64-7661-48f7-bb03-ed06e2d48330,77e74303-6720-419f-9aaa-1d3b419f7a54,relationship,6,relationship
319e9627-a8ef-495a-8c52-d4416019b3cf,54d9d070-0e51-4288-89bb-715736ddc95e,relationship,7,relationship
319e9627-a8ef-495a-8c52-d4416019b3cf,8613a477-0c40-4705-b325-2386f53f7701,relationship,8,relationship
319e9627-a8ef-495a-8c52-d4416019b3cf,eeb3b2b0-8c06-49f6-a60d-05f31c0411e2,relationship,7,relationship
319e9627-a8ef-495a-8c52-d4416019b3cf,a8f4782e-6153-4962-ab93-75424c1f220c,relationship,1,relationship
ae537033-9f6b-4aac-b3f5-f61046890ec1,a8f4782e-6153-4962-ab93-75424c1f220c,relationship,8,relationship
3bb77ca7-0ed3-4e0c-a231-7d065d6754c3,fe19a173-8b2f-489c-ac7e-0b694b49ce3d,relationship,7,relationship
3bb77ca7-0ed3-4e0c-a231-7d065d6754c3,ab0e2be7-d552-433f-a160-bfc24d8af360,relationship,7,relationship
3bb77ca7-0ed3-4e0c-a231-7d065d6754c3,f1d92e6e-5e82-424c-8ff4-2b713e0c57f0,relationship,8,relationship
bdec70f5-666e-43f9-a8b6-7fd700e31403,704ef384-b3c6-4635-8e66-a48b326d0cd5,relationship,6,relationship
e2797836-dd50-4fbc-828f-0297dfabc263,dbc86ee7-f8ff-4513-b808-904b4c00ccea,relationship,7,relationship
e2797836-dd50-4fbc-828f-0297dfabc263,afda1312-3a08-42a6-a651-e1af4e03632f,relationship,6,relationship
dfc69d01-63b7-4d2f-a4e6-f93e1ddee3e4,68cea89e-68fd-41cc-8dee-f71d75d68bc3,relationship,6,relationship
9faa351b-febb-4b75-b2f7-36dbb1155860,e1d10d76-bb18-48f3-aa05-78099ae2655e,relationship,8,relationship
cf408106-8cdf-4c3d-ad8a-0f250f8753ab,22da3f6f-b382-4416-8148-a0bed9bcee04,relationship,7,relationship
ab0e2be7-d552-433f-a160-bfc24d8af360,8221a626-3111-43f3-b59e-6da675b052c5,relationship,7,relationship
84048754-edc3-42b3-b638-41698ad21d59,9e705c1b-1dc9-4cc7-808e-5dec5bbb5d12,relationship,8,relationship
e12f5b00-ed43-4d58-98ea-b68c44588591,37ff8d43-a757-47b5-b735-550107cc1c27,relationship,6,relationship
e12f5b00-ed43-4d58-98ea-b68c44588591,783ee803-9c42-45f0-905a-0e7cf0e27766,relationship,1,relationship
873bb2f5-fd27-451a-a607-2b540dcb4796,006796d7-0a0c-46b8-9866-b924da641920,relationship,7,relationship
873bb2f5-fd27-451a-a607-2b540dcb4796,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,6,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,793877c3-e6a2-41da-ad4c-7d6315cfb560,relationship,8,relationship
a5af03d8-0926-486a-a595-f673c70d86c8,14752850-531b-431d-85d7-8d0fb5020f50,relationship,5,relationship
4ae7d3a7-ca1a-4722-895a-cdbb355a4965,8d5857c0-e96b-4b48-b246-0770ba0b8b5a,relationship,1,relationship
96e9da05-2bb6-4e4d-ba7b-71b783bc70b2,7796bef0-5049-4051-9c32-70bbef8738d6,relationship,8,relationship
96e9da05-2bb6-4e4d-ba7b-71b783bc70b2,09414cde-d037-428a-b8d4-4048bca9e824,relationship,7,relationship
96e9da05-2bb6-4e4d-ba7b-71b783bc70b2,8848d7cf-e190-4ce1-aa52-6484f88a6e1b,relationship,7,relationship
09414cde-d037-428a-b8d4-4048bca9e824,60724611-af0c-487a-89cb-892bfe43ba73,relationship,8,relationship
09414cde-d037-428a-b8d4-4048bca9e824,7d6d7da6-1f5b-4822-94d4-5b801406ee5b,relationship,8,relationship
8848d7cf-e190-4ce1-aa52-6484f88a6e1b,60724611-af0c-487a-89cb-892bfe43ba73,relationship,8,relationship
8848d7cf-e190-4ce1-aa52-6484f88a6e1b,7d6d7da6-1f5b-4822-94d4-5b801406ee5b,relationship,8,relationship
a324634b-4fd1-4a83-b856-dd11936ac2a3,fa50a6f6-e157-43aa-83ad-72d48efe9758,relationship,9,relationship
6682e5c7-73bf-4a53-8f4a-c6959634b8af,fa50a6f6-e157-43aa-83ad-72d48efe9758,relationship,9,relationship
ade70777-6f11-4b66-8009-7fe68a56e7b6,eeb79749-42ac-42f8-8fc8-fc0136c5e892,relationship,6,relationship
eeb79749-42ac-42f8-8fc8-fc0136c5e892,da63afeb-8953-453f-82de-05f96d00651f,relationship,7,relationship
527ac727-0cca-4159-b4be-f6eb889b75e1,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,1,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,a324634b-4fd1-4a83-b856-dd11936ac2a3,relationship,8,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,6682e5c7-73bf-4a53-8f4a-c6959634b8af,relationship,8,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,90b7276f-2462-46b3-8b24-3edf69f10d0f,relationship,8,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,8e325517-b360-4019-aef3-b8deeed782df,relationship,6,relationship
d7f020f2-f58e-4209-a554-6ff19e8ae625,25f107e9-3d6c-4fc4-8883-e0e3e400c363,relationship,6,relationship
ade70777-6f11-4b66-8009-7fe68a56e7b6,ae65c09e-a7e6-4c1f-9366-dbf229cb329e,relationship,7,relationship
ade70777-6f11-4b66-8009-7fe68a56e7b6,bd25df2d-6189-45da-bc8e-ecf6de9c948f,relationship,7,relationship
ade70777-6f11-4b66-8009-7fe68a56e7b6,f82d983b-5520-4646-ba0b-fc2eaea4b6a7,relationship,7,relationship
8b8c9ddf-dd87-4d72-be0c-acdb365bdab8,f74224d0-32b5-46c3-b3e4-84c126e19c5a,relationship,9,relationship
8b8c9ddf-dd87-4d72-be0c-acdb365bdab8,c8cfadd5-33dd-4d30-9650-176fbb759b08,relationship,8,relationship
8b8c9ddf-dd87-4d72-be0c-acdb365bdab8,5dbdd3bd-1f0a-41ef-a080-6a5261012a1e,relationship,1,relationship
ecd6300c-71a8-4fdf-abb0-c2ffa274d996,c1482033-5b2b-4294-97b8-a34f63cc8094,relationship,6,relationship
1cdb19a9-99df-4aa4-a5c3-a8d05d083a2b,c1482033-5b2b-4294-97b8-a34f63cc8094,relationship,1,relationship
3dc72a31-b342-4a60-943f-58fce3e948b4,90b7276f-2462-46b3-8b24-3edf69f10d0f,relationship,7,relationship
a1435cf3-1870-4e12-a919-72f9096363e6,90b7276f-2462-46b3-8b24-3edf69f10d0f,relationship,7,relationship
d11a4fd6-8732-424c-b7d2-94995eab386f,a75767c0-f0d7-4dbb-bab9-98e167821d11,relationship,7,relationship
d11a4fd6-8732-424c-b7d2-94995eab386f,cd074f86-9977-48d5-b3ef-9f0585c0399e,relationship,6,relationship
d11a4fd6-8732-424c-b7d2-94995eab386f,ae65c09e-a7e6-4c1f-9366-dbf229cb329e,relationship,8,relationship
d11a4fd6-8732-424c-b7d2-94995eab386f,566003d3-47d3-463c-b74b-ef2600918875,relationship,7,relationship
9a0dbc97-eba6-4aef-98ca-7539d9cc50c0,d927866c-adcb-4c78-a741-2651f68d892e,relationship,8,relationship
9a0dbc97-eba6-4aef-98ca-7539d9cc50c0,a4af4dff-2700-4ea5-93a2-7348b009c899,relationship,7,relationship
9a0dbc97-eba6-4aef-98ca-7539d9cc50c0,227b53c9-3974-42e1-9c54-f9f300896fa3,relationship,9,relationship
d927866c-adcb-4c78-a741-2651f68d892e,227b53c9-3974-42e1-9c54-f9f300896fa3,relationship,9,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,da391c46-a5fb-4b50-bd0a-8ed6f51af8c0,relationship,9,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,511ad143-8f20-4fc3-bc06-8bdb8c9c806a,relationship,1,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,ae65c09e-a7e6-4c1f-9366-dbf229cb329e,relationship,8,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,bd25df2d-6189-45da-bc8e-ecf6de9c948f,relationship,6,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,f82d983b-5520-4646-ba0b-fc2eaea4b6a7,relationship,6,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,2756bddf-97b6-488e-9b21-8b0f61cfd486,relationship,5,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,86f9a489-361b-4f66-88f6-ea5c70d33da5,relationship,7,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,ecc4fe39-571d-4e01-971a-629d88855aed,relationship,6,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,3d869f7f-fd6c-41e0-bda5-3936581581fe,relationship,6,relationship
227b53c9-3974-42e1-9c54-f9f300896fa3,06faf6dd-f361-46d8-af0c-81ff7119f6f6,relationship,1,relationship
da391c46-a5fb-4b50-bd0a-8ed6f51af8c0,fa7794a8-34f6-49eb-ba17-a004be458f21,relationship,7,relationship
da391c46-a5fb-4b50-bd0a-8ed6f51af8c0,8c0f0c27-f99d-4d01-917b-58a4eab2be57,relationship,8,relationship
da391c46-a5fb-4b50-bd0a-8ed6f51af8c0,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,7,relationship
fa7794a8-34f6-49eb-ba17-a004be458f21,d13c12fa-c9bb-4408-9cea-e296ea76136a,relationship,9,relationship
fa7794a8-34f6-49eb-ba17-a004be458f21,8ccc78fa-a172-4647-aa1b-13d1e7ea07fd,relationship,1,relationship
09414cde-d037-428a-b8d4-4048bca9e824,fc4dda1f-e0e8-474d-a900-d8644cb24d3c,relationship,9,relationship
09414cde-d037-428a-b8d4-4048bca9e824,c9a98fd9-9acb-4619-befc-ed6687cefde8,relationship,8,relationship
86f9a489-361b-4f66-88f6-ea5c70d33da5,6620ac3c-5f35-46e3-9ea1-1378da7d5c49,relationship,9,relationship
86f9a489-361b-4f66-88f6-ea5c70d33da5,32db09be-43d6-4bc4-954c-1baf9124c7dd,relationship,8,relationship
86f9a489-361b-4f66-88f6-ea5c70d33da5,8290b16c-c8a1-41f0-8aff-cc4bb42e9e0a,relationship,9,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,4d0dc508-15a9-4674-a335-8e5c33a0b326,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,44425780-4866-4da3-b38e-f87945589ea3,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,03aee123-00c8-42c4-87cb-78790e83993b,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,55c7b76e-c801-42c0-8afe-7e83eb4e227b,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,463f85c9-b946-45b4-9946-0bbe7f7f80c7,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,9c07c951-b91e-4390-bf68-14cfb5f4f07b,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,c6ef1379-bd20-48f2-8d49-dc4d30a1b709,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,3fc800e2-3cc5-4bce-ab0e-a4eb5d1bce31,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,cbbdb496-a05c-4f50-a25f-ca5ff0f529e3,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,92be0b76-efa4-4998-b6db-cbc9fc5246cf,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,6b7d1125-c038-4291-ab91-edc0424c6693,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,78921bc5-0869-48c9-85b4-f75f4ed07c6f,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,0ac1efb6-ba16-430a-8c7a-fc7e151e7487,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,844688dd-672e-4906-84d7-90e403859f75,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,6e54fd98-7404-4419-bec2-adeedb163710,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,3f059b6c-f8ce-4654-98c0-dee074f40063,relationship,8,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,c4dfe36f-64c9-47fa-a79d-947fda782d70,relationship,1,relationship
4d0dc508-15a9-4674-a335-8e5c33a0b326,a09874e5-bb7c-4ce8-a935-44a6546f179a,relationship,9,relationship
4d0dc508-15a9-4674-a335-8e5c33a0b326,d1eb09a8-4eb5-4398-a751-b3052ec7ec51,relationship,9,relationship
4d0dc508-15a9-4674-a335-8e5c33a0b326,abba39f3-053c-4015-9f79-e01a3d769421,relationship,9,relationship
4d0dc508-15a9-4674-a335-8e5c33a0b326,f574b0a6-989f-41d5-9865-98f30ba6bbaa,relationship,9,relationship
4d0dc508-15a9-4674-a335-8e5c33a0b326,ee062bdf-163a-40fd-aaa5-733c539ea7ca,relationship,9,relationship
44425780-4866-4da3-b38e-f87945589ea3,79a1d756-ad4e-4c15-ae42-7852cb62bfa4,relationship,9,relationship
44425780-4866-4da3-b38e-f87945589ea3,f1a11209-b1b6-4055-b45a-c39a375200c6,relationship,9,relationship
44425780-4866-4da3-b38e-f87945589ea3,b855774a-4c88-46c3-88d4-b7c7efd18567,relationship,9,relationship
44425780-4866-4da3-b38e-f87945589ea3,4f45d61d-8a78-4f15-9bcc-6ff028a47d45,relationship,9,relationship
44425780-4866-4da3-b38e-f87945589ea3,7a86bcf5-8675-4c59-90ca-70f5706fb222,relationship,1,relationship
79a1d756-ad4e-4c15-ae42-7852cb62bfa4,f1a11209-b1b6-4055-b45a-c39a375200c6,relationship,5,relationship
79a1d756-ad4e-4c15-ae42-7852cb62bfa4,b855774a-4c88-46c3-88d4-b7c7efd18567,relationship,5,relationship
f1a11209-b1b6-4055-b45a-c39a375200c6,b855774a-4c88-46c3-88d4-b7c7efd18567,relationship,5,relationship
03aee123-00c8-42c4-87cb-78790e83993b,34e51e24-0709-4ca6-bb71-e2675ce7de91,relationship,8,relationship
03aee123-00c8-42c4-87cb-78790e83993b,9e39403d-c61f-409e-aaf5-45810acd1635,relationship,7,relationship
03aee123-00c8-42c4-87cb-78790e83993b,2b1f7a8f-546e-4a79-b0fb-2ed4d14bf390,relationship,9,relationship
03aee123-00c8-42c4-87cb-78790e83993b,3636c337-acf6-48c2-8850-f2dc84d209b8,relationship,6,relationship
67a1f9bd-511f-4100-b7a0-d471bdda0c4a,321cc8e3-f89f-498e-83c0-2a118685734b,relationship,8,relationship
67a1f9bd-511f-4100-b7a0-d471bdda0c4a,b745cafe-a2da-4436-9fd2-6b25a879667d,relationship,1,relationship
67a1f9bd-511f-4100-b7a0-d471bdda0c4a,897b24bd-c499-488e-9377-73ec92aa4fea,relationship,9,relationship
67a1f9bd-511f-4100-b7a0-d471bdda0c4a,d47d6d55-f1bf-41e3-b578-3f15cf70fec4,relationship,7,relationship
67a1f9bd-511f-4100-b7a0-d471bdda0c4a,f3e96095-441b-4233-8280-0baf6ed61439,relationship,1,relationship
321cc8e3-f89f-498e-83c0-2a118685734b,199780e7-21d4-4cca-951c-22deb4ca0d8d,relationship,8,relationship
199780e7-21d4-4cca-951c-22deb4ca0d8d,41596eb4-641f-4449-baac-9558c8958d7d,relationship,9,relationship
b745cafe-a2da-4436-9fd2-6b25a879667d,4e40cf73-d807-43fc-87d4-db08b507207c,relationship,6,relationship
4e40cf73-d807-43fc-87d4-db08b507207c,96e9da05-2bb6-4e4d-ba7b-71b783bc70b2,relationship,7,relationship
2168505e-34c8-489a-80a9-15135bc16112,ab4c5fcf-9896-41c1-9170-e42ca111c9cb,relationship,8,relationship
2168505e-34c8-489a-80a9-15135bc16112,2aebd45c-a49a-4c84-8295-0dd8cdec41ab,relationship,8,relationship
ab4c5fcf-9896-41c1-9170-e42ca111c9cb,1a7bbcb6-ea9c-4c9b-bfdf-03d597b5cd49,relationship,8,relationship
b8015594-2fe1-4e4a-ad48-efaa79c0c19b,7a6064d7-20a9-4da5-b92b-7f9c6c786716,relationship,9,relationship
2aebd45c-a49a-4c84-8295-0dd8cdec41ab,2168505e-34c8-489a-80a9-15135bc16112,relationship,8,relationship
2aebd45c-a49a-4c84-8295-0dd8cdec41ab,05cdf341-25d4-4d8f-8307-e86aa0655aee,relationship,7,relationship
2aebd45c-a49a-4c84-8295-0dd8cdec41ab,4c3cdb1b-6a3d-4e48-87ad-208603a0868f,relationship,8,relationship
2aebd45c-a49a-4c84-8295-0dd8cdec41ab,1a0fd8e3-7161-4cf7-9349-801984a76324,relationship,8,relationship
2aebd45c-a49a-4c84-8295-0dd8cdec41ab,1c9780c3-0739-4f6d-8a39-ef560ffbd6e2,relationship,1,relationship
2168505e-34c8-489a-80a9-15135bc16112,89e5473e-92b2-4beb-b8d4-b417378c3cc6,relationship,9,relationship
4c3cdb1b-6a3d-4e48-87ad-208603a0868f,dcb514cd-be62-43f6-9107-3e403310bbfe,relationship,7,relationship
dcb514cd-be62-43f6-9107-3e403310bbfe,3efaa673-562a-4941-bac8-41fc871c0c48,relationship,6,relationship
dcb514cd-be62-43f6-9107-3e403310bbfe,5372af22-ea84-4cef-9be8-5596e3e93c22,relationship,5,relationship
